尺寸: 24 x 17 x 1.4 cm	Baike
尺寸: 13.2 x 7.4 x 1...	Baike
（1.to advocate 2.to promote） tí chànɡ	Baike
高中 :南京外国语学校--高二7班 - 2008年	Baike
初中 :南京外国语学校 - 2005年	Baike
小学 :南京市游府西街小学 - 1999年	Baike
尺寸: 26.4 x 21.8 x...	Baike
(1).完了，结束。《南史·颜延之传》：“ 延之 唯利是视，轻冒陈闻，依傍詔恩，抵捍餘直，垂及周年，犹不毕了。”柳青 《创业史》第一部第十八章：“这阵土改毕了，再不斗争哩。”	Baike
(2).比喻没有钱了。毕，“瘪”的借音字。《儒林外史》第三三回：“﹝ 杜少卿 ﹞又道：‘小侄这回盘程带少了，今日只剩的五个钱’…… 韦四太爷 大笑道：‘好，好！今日大老官毕了！’”	Baike
编委：许日滨 黄业清 杜俭业 姜 勇 宋一兵	Baike
谭雪松 向先波 毕丽蕴 高长铎 田博文	Baike
郭万军 詹 翔 宋雪岩 周 锦 冯 辉	Baike
王海英 李 仲 马 震 蔡汉明 张 琴	Baike
赵 晶 张 伟 朱 凯 赵治国 彭 智	Baike
张燕花 孙海侠 姜继红 姚育成 杨平辉作品介绍Flas...	Baike
尺寸: 24 x 1...	Baike
作 者： 三只老虎工作室 编	Baike
出 版 社： 新时代出版社	Baike
&#91;release;shoot an arrow&#93; 用弓射箭时握住及放松箭的方式;射箭	Baike
5月21日 - 美国自由女神像安装竣工。 6月19...	Baike
尺寸: 17.6 x 15.8 x...	Baike
英文名称：Troyes 8 Bit Rally	Baike
"范例：新词典词语丰富,信息量大。词目：词语，拼音：cí yǔ，英文：words and expressions，解释：文辞；词和短语的合称，包括单词、词组及整个词汇；字眼。	Baike"
所属分类：音乐 &amp;gt; 有声读物 &amp;gt; 诗歌	Baike
1月 1日 上海公共租界会审公廨收归国有。 同日，广州的国民政府迁到武汉。 汉口爆发反英怒潮。	Baike
1993年，福州大学化工系化工专业 学士 2001年，厦门大学化学系物理化学专业 硕士 2001年至今，厦门大学化学化工学院化学系催化教研室	Baike
高 此处的意思是 下向上距离长，离地面远，跟“ 低” 相对	Baike
尺寸: 28.2 x 2...	Baike
